k,D,v,tau,R,label
1.5,0.05,1,1,0.35,default
1,0.05,1,1,0.35,
1.1,0.05,1,1,0.35,
1.2,0.05,1,1,0.35,
1.3,0.05,1,1,0.35,
1.4,0.05,1,1,0.35,
1.6,0.05,1,1,0.35,
1.7,0.05,1,1,0.35,
1.8,0.05,1,1,0.35,
1.9,0.05,1,1,0.35,
2,0.05,1,1,0.35,
