# {'par': {'k': 1.5; 'D': 0.2; 'v': 1; 'tau': 0.8; 'R': 0.6; 'label': 'default'}; 'guess_range': ([-150; 50; 50]; [0; 100; 20]); 'tols': (1e-09; 1e-07; 5)}
Sol_r,Sol_i,Guess,g(x),g*(x),ier,msg,infodict,instances
-9.3509,40.069,[-150.   20.],6.082156662430488e-08,4.475502303562715e-05,1,The solution converged.,"{'nfev': 209, 'fjac': array([[ 0.84046116,  0.54187179],
       [-0.54187179,  0.84046116]]), 'r': array([-3.15017166, -0.09132196, -2.7871843 ]), 'qtf': array([-4.57535333e-06,  3.06896714e-06]), 'fvec': array([-6.07991106e-08,  1.65260783e-09])}",36
-9.3509,-40.069,[ -9.35087889 -40.06886905],3.8530977454847216e-14,1.9802406650162997e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.81377841,  0.58117528],
       [-0.58117528, -0.81377841]]), 'r': array([2.94807175e+00, 9.07478046e-07, 2.94807204e+00]), 'qtf': array([4.85165485e-08, 3.66797968e-08]), 'fvec': array([-3.46389584e-14, -1.68753900e-14])}",36
-10.403,46.853,[-150.   30.],4.98539485892985e-12,7.878882412187895e-09,1,The solution converged.,"{'nfev': 207, 'fjac': array([[-0.8423953 , -0.53886006],
       [ 0.53886006, -0.8423953 ]]), 'r': array([ 3.28798793, -0.08722887,  2.97537226]), 'qtf': array([-4.75331101e-08,  5.84805715e-08]), 'fvec': array([-4.69713157e-12,  1.67066361e-12])}",32
-10.403,-46.853,[-10.40344077 -46.85265656],2.019995800058922e-14,3.126946086561077e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.80516397,  0.59305226],
       [-0.59305226, -0.80516397]]), 'r': array([3.12807172e+00, 8.42888762e-07, 3.12807206e+00]), 'qtf': array([2.79117029e-12, 4.13080262e-12]), 'fvec': array([1.11022302e-14, 1.68753900e-14])}",32
-11.393,-53.709,[-11.39307225 -53.70850186],1.432144669219779e-14,4.301631121192429e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.7981508 ,  0.60245771],
       [-0.60245771, -0.7981508 ]]), 'r': array([3.29784397e+00, 1.11110965e-06, 3.29784431e+00]), 'qtf': array([5.82323194e-08, 4.70769837e-08]), 'fvec': array([-1.42108547e-14,  1.77635684e-15])}",30
-11.393,53.709,[-150.   35.],7.488154252673547e-08,0.0002450180522858548,1,The solution converged.,"{'nfev': 210, 'fjac': array([[ 0.83425639,  0.55137671],
       [-0.55137671,  0.83425639]]), 'r': array([-3.58211602, -0.08072721, -3.08794735]), 'qtf': array([-3.52507123e-06,  2.47852057e-06]), 'fvec': array([-7.48400644e-08,  2.49202259e-09])}",30
-12.329,60.624,[-150.   45.],8.977429575261244e-08,0.000585818959027169,1,The solution converged.,"{'nfev': 204, 'fjac': array([[-0.78570982, -0.61859525],
       [ 0.61859525, -0.78570982]]), 'r': array([ 3.59167756, -0.20792721,  3.38995854]), 'qtf': array([-6.33122009e-06, -2.11238080e-06]), 'fvec': array([5.30616213e-08, 7.24146982e-08])}",34
-12.329,-60.624,[-12.32949427 -60.62362725],2.6884824797806513e-14,9.653612575702191e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.79231578,  0.61011123],
       [-0.61011123, -0.79231578]]), 'r': array([3.45888353e+00, 1.13892062e-06, 3.45888398e+00]), 'qtf': array([-8.62225802e-08,  2.50018169e-08]), 'fvec': array([1.02140518e-14, 2.48689958e-14])}",34
-13.22,-67.589,[-13.22020858 -67.58861495],7.993605777301127e-15,4.399398009360004e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.7873741 ,  0.61647549],
       [-0.61647549, -0.7873741 ]]), 'r': array([3.61237032e+00, 1.44381106e-06, 3.61237083e+00]), 'qtf': array([ 1.40442600e-10, -5.10843179e-10]), 'fvec': array([0.00000000e+00, 7.99360578e-15])}",34
-13.22,67.589,[26. 35.],5.297970152752832e-10,6.6863149907104194e-06,1,The solution converged.,"{'nfev': 18, 'fjac': array([[-0.79050003, -0.612462  ],
       [ 0.612462  , -0.79050003]]), 'r': array([ 3.60709217, -0.01743001,  3.61553305]), 'qtf': array([-2.43822205e-07, -8.46581518e-07]), 'fvec': array([ 2.04341433e-10, -4.88804108e-10])}",34
-14.071,-74.596,[-14.07113559 -74.59629324],3.1539714670296176e-14,7.635250002113698e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.78312686,  0.62186198],
       [-0.62186198, -0.78312686]]), 'r': array([3.75924961e+00, 1.82949741e-06, 3.75925014e+00]), 'qtf': array([1.13238488e-08, 9.97106605e-09]), 'fvec': array([2.66453526e-14, 1.68753900e-14])}",33
-14.071,74.596,[-150.   60.],1.508813140769142e-08,0.0003584466552821088,1,The solution converged.,"{'nfev': 200, 'fjac': array([[-0.72121052, -0.69271595],
       [ 0.69271595, -0.72121052]]), 'r': array([3.41076539, 0.01650948, 4.10132245]), 'qtf': array([-8.22904643e-07,  8.53078367e-07]), 'fvec': array([-1.50686370e-08,  7.66738673e-10])}",33
-14.887,-81.641,[-14.88703801 -81.64105448],9.741863846442006e-14,3.923947618813058e-09,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.77943083,  0.62648829],
       [-0.62648829, -0.77943083]]), 'r': array([3.90028969e+00, 1.83272489e-06, 3.90029029e+00]), 'qtf': array([1.95495095e-10, 1.97638435e-09]), 'fvec': array([6.61692923e-14, 7.14983628e-14])}",31
-14.887,81.641,[-150.   65.],1.986029566363598e-09,8.671020084876621e-05,1,The solution converged.,"{'nfev': 193, 'fjac': array([[-0.73520665, -0.67784303],
       [ 0.67784303, -0.73520665]]), 'r': array([3.88204038, 0.26327163, 3.91859413]), 'qtf': array([-5.73482681e-09, -6.68735567e-07]), 'fvec': array([-1.39055656e-09,  1.41797951e-09])}",31
-15.672,88.718,[-150.   75.],3.954292449269579e-09,0.0003105486211579041,1,The solution converged.,"{'nfev': 192, 'fjac': array([[-0.76101452, -0.64873484],
       [ 0.64873484, -0.76101452]]), 'r': array([ 4.16654667, -0.06812571,  3.91598698]), 'qtf': array([-7.84877111e-06, -5.92802064e-06]), 'fvec': array([7.60204788e-10, 3.88053056e-09])}",33
-15.672,-88.718,[-15.67181112 -88.71841721],2.4424906541753444e-14,1.9031323870029087e-09,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.77618038,  0.63051092],
       [-0.63051092, -0.77618038]]), 'r': array([4.03612414e+00, 2.38015697e-06, 4.03612479e+00]), 'qtf': array([-3.03677292e-09,  2.53267428e-09]), 'fvec': array([-2.44249065e-14,  0.00000000e+00])}",33
-16.429,-95.825,[-16.42868668 -95.82473379],7.663080698038624e-14,1.0627800781463042e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.77329546,  0.63404584],
       [-0.63404584, -0.77329546]]), 'r': array([4.16728110e+00, 2.48454541e-06, 4.16728182e+00]), 'qtf': array([ 1.24097112e-09, -2.63181029e-09]), 'fvec': array([5.32907052e-14, 5.50670620e-14])}",31
-16.429,95.825,[38. 50.],2.9097138493340256e-09,0.00040314297432016507,1,The solution converged.,"{'nfev': 16, 'fjac': array([[-0.81824076, -0.57487569],
       [ 0.57487569, -0.81824076]]), 'r': array([ 4.05130283, -0.25862514,  4.30672785]), 'qtf': array([-1.42534143e-06, -3.48455260e-06]), 'fvec': array([ 7.09051040e-10, -2.82199952e-09])}",31
-17.16,102.96,[-150.   90.],2.8726845125682172e-09,0.0006899067255033516,1,The solution converged.,"{'nfev': 193, 'fjac': array([[-0.70907862, -0.70512942],
       [ 0.70512942, -0.70907862]]), 'r': array([4.23168866, 0.39002842, 4.30651644]), 'qtf': array([-1.91979992e-08,  7.82476859e-07]), 'fvec': array([-2.23321317e-09,  1.80695192e-09])}",35
-17.16,-102.96,[ -17.16037965 -102.95698876],3.3820826609804605e-15,9.385703304198744e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.77071463,  0.63718047],
       [-0.63718047, -0.77071463]]), 'r': array([4.29420698e+00, 2.88564027e-06, 4.29420769e+00]), 'qtf': array([5.69815584e-10, 2.81560411e-09]), 'fvec': array([ 3.10862447e-15, -1.33226763e-15])}",35
-17.869,110.11,[-150.   95.],1.0348649545877637e-08,0.004239450348813198,1,The solution converged.,"{'nfev': 200, 'fjac': array([[-0.76751847, -0.64102683],
       [ 0.64102683, -0.76751847]]), 'r': array([ 4.46804466, -0.1992054 ,  4.39290831]), 'qtf': array([-1.63846740e-06, -1.80496758e-07]), 'fvec': array([7.11055881e-09, 7.51894280e-09])}",13
-17.869,-110.11,[ -17.869196   -110.11265555],1.7763568394002505e-14,1.1171170851118095e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.7683896 ,  0.63998236],
       [-0.63998236, -0.7683896 ]]), 'r': array([4.41728189e+00, 2.97400524e-06, 4.41728262e+00]), 'qtf': array([-1.02756702e-08,  1.22684531e-09]), 'fvec': array([-1.77635684e-14,  0.00000000e+00])}",13
-19.226,124.49,[50. 65.],3.389367573255226e-10,0.0003869526781328466,1,The solution converged.,"{'nfev': 18, 'fjac': array([[-0.7650078 , -0.64402101],
       [ 0.64402101, -0.7650078 ]]), 'r': array([4.63856781, 0.01376698, 4.65907566]), 'qtf': array([-1.77045304e-07, -5.88458340e-08]), 'fvec': array([-1.80647053e-10, -2.86783486e-10])}",1
-19.226,-124.49,[ -19.22584271 -124.48596557],2.1922899135513566e-14,1.3431725187092979e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.76436125,  0.64478824],
       [-0.64478824, -0.76436125]]), 'r': array([4.65314383e+00, 3.49803939e-06, 4.65314474e+00]), 'qtf': array([ 3.22994227e-10, -1.02727090e-10]), 'fvec': array([-2.17603713e-14, -2.66453526e-15])}",1
