k,D,v,tau,R,label
1.5,0.05,1,0.8,0.6,default
1,0.05,1,0.8,0.6,
2,0.05,1,0.8,0.6,
1.5,0.025,1,0.8,0.6,
1.5,0.1,1,0.8,0.6,
1.5,0.05,0.5,0.8,0.6,
1.5,0.05,2,0.8,0.6,
1.5,0.05,1,0.2,0.6,
1.5,0.05,1,8,0.6,
1.5,0.05,1,0.8,0.15,
1.5,0.05,1,0.8,0.95,
