k,D,v,tau,R,label
5,0.1,1,0.25,0.5,default
10,0.1,1,0.25,0.5,
2.5,0.1,1,0.25,0.5,
5,0.1,0.75,0.25,0.5,
5,0.1,1.25,0.25,0.5,
5,0.1,1,0.1,0.5,
5,0.1,1,0.5,0.5,
