k,D,v,tau,R,label
2,0.2,4,0.7,0.5,default
1,0.2,4,0.7,0.5,
1.5,0.2,4,0.7,0.5,
2.5,0.2,4,0.7,0.5,
3,0.2,4,0.7,0.5,
2,0.05,4,0.7,0.5,
2,0.1,4,0.7,0.5,
2,0.3,4,0.7,0.5,
2,0.5,4,0.7,0.5,
2,0.2,2,0.7,0.5,
2,0.2,3,0.7,0.5,
2,0.2,5,0.7,0.5,
2,0.2,8,0.7,0.5,
2,0.2,4,0.1,0.5,
2,0.2,4,0.5,0.5,
2,0.2,4,1,0.5,
2,0.2,4,2,0.5,
2,0.2,4,0.7,0.1,
2,0.2,4,0.7,0.25,
2,0.2,4,0.7,0.7,
2,0.2,4,0.7,0.95,
