k,D,v,tau,R,label
10,0.1,0.5,1,0.9,default
-10,0.1,0.5,1,0.9,
20,0.1,0.5,1,0.9,
10,0.2,0.5,1,0.9,
10,0.05,0.5,1,0.9,
10,0.1,0.25,1,0.9,
10,0.1,0.75,1,0.9,
10,0.1,0.5,5,0.9,
10,0.1,0.5,0.2,0.9,
10,0.1,0.5,1,0.2,
10,0.1,0.5,1,0.5,
