# {'par': {'k': 5.0, 'D': 0.1, 'v': 1.0, 'tau': 0.25, 'R': 0.5, 'label': 'default'}, 'guess_range': ([-100, 20, 45], [0, 360, 120]), 'tols': (1e-15, 1e-06, 4)}
Sol_r,Sol_i,Guess_r,Guess_i,g(x),instances
3.877565146206979,0.0,0.9090909090909065,0.0,6.366462912410498e-12,928
1.6933953330803582,5.683869584354,-1.8181818181818272,0.0,5.4569682106375694e-12,96
1.6933953330803582,-5.683869584354,-1.8181818181818272,-0.0,5.4569682106375694e-12,96
-3.302498049392828,13.665335367668721,-7.2727272727272805,3.0252100840336134,1.6770253673335696e-11,74
-3.302498049392828,-13.665335367668721,-7.2727272727272805,-3.0252100840336134,1.6770253673335696e-11,74
-9.416262826288483,23.37485764065118,-10.0,18.15126050420168,3.45128973294964e-11,68
-9.416262826288483,-23.37485764065118,-10.0,-18.15126050420168,3.45128973294964e-11,68
-13.461787449782078,-66.45310680331292,-12.727272727272734,-63.529411764705884,1.0030651105818346e-08,32
-13.461787449782078,66.45310680331292,-12.727272727272734,63.529411764705884,1.0030651105818346e-08,32
-14.419232928109073,40.88251466432405,-12.727272727272734,39.32773109243698,1.8406878575731415e-10,30
-14.419232928109073,-40.88251466432405,-12.727272727272734,-39.32773109243698,1.8406878575731415e-10,30
-22.464376073412314,37.660981846643885,-29.090909090909093,6.050420168067227,2.7214881327349902e-11,199
-22.464376073412314,-37.660981846643885,-29.090909090909093,-6.050420168067227,2.7214881327349902e-11,199
-50.66594578812974,50.26548242802549,-50.909090909090914,0.0,7.880982489691945e-11,360
-50.66594578812974,-50.26548242802549,-50.909090909090914,-0.0,7.880982489691945e-11,360
-86.19604394872468,62.83185305884525,-70.0,-15.126050420168067,3.871201991851768e-11,658
-86.19604394872468,-62.83185305884525,-70.0,15.126050420168067,3.871201991851768e-11,658
-129.62230337981035,75.3982236706143,-100.0,108.90756302521008,3.008545515915811e-10,770
-129.62230337981035,-75.3982236706143,-100.0,-108.90756302521008,3.008545515915811e-10,770
-180.94424626547377,87.96459428238336,-100.0,193.61344537815125,1.8250707463314242e-10,877
-180.94424626547377,-87.96459428238336,-100.0,-193.61344537815125,1.8250707463314242e-10,877
-240.16187267200985,100.5309648941524,-100.0,311.5966386554622,2.3342890475973027e-10,170
-240.16187267200985,-100.5309648941524,-100.0,-311.5966386554622,2.3342890475973027e-10,170
