# {'par': {'k': 5.0, 'D': 0.1, 'v': 1.25, 'tau': 0.25, 'R': 0.5, 'label': '(v_1.25)'}, 'guess_range': ([-100, 20, 45], [0, 360, 120]), 'tols': (1e-15, 1e-06, 4)}
Sol_r,Sol_i,Guess_r,Guess_i,g(x),instances
3.704071505891119,0.0,-1.8181818181818272,0.0,2.9103830456733704e-11,764
1.8345160640655602,6.503270599392061,-10.0,6.050420168067227,1.6463612699567982e-10,59
1.8345160640655602,-6.503270599392061,-10.0,-6.050420168067227,1.6463612699567982e-10,59
-2.677373463793413,14.841327380959603,-10.0,12.100840336134453,1.3015628661377063e-10,76
-2.677373463793413,-14.841327380959603,-10.0,-12.100840336134453,1.3015628661377063e-10,76
-8.491177145139535,25.118974325586397,-7.2727272727272805,21.176470588235293,7.454217687985916e-10,59
-8.491177145139535,-25.118974325586397,-7.2727272727272805,-21.176470588235293,7.454217687985916e-10,59
-14.746881785639808,-37.89907378924486,-15.454545454545467,-30.252100840336134,7.917097832969998e-10,88
-14.746881785639808,37.89907378924486,-15.454545454545467,30.252100840336134,7.917097832969998e-10,88
-18.698266143019566,-91.5274196343028,-18.181818181818187,-87.73109243697479,6.447228089804631e-07,39
-18.698266143019566,91.5274196343028,-18.181818181818187,87.73109243697479,6.447228089804631e-07,39
-19.17474247117091,-66.67342618308756,-18.181818181818187,-63.529411764705884,3.084632598176449e-08,37
-19.17474247117091,66.67342618308756,-18.181818181818187,63.529411764705884,3.084632598176449e-08,37
-21.495831686669366,-47.928322418337494,-34.54545454545455,-12.100840336134453,5.612579054143e-10,87
-21.495831686669366,47.928322418337494,-34.54545454545455,12.100840336134453,5.612579054143e-10,87
-46.44076648927408,62.83185033203468,-56.36363636363637,6.050420168067227,1.3730941336056493e-09,340
-46.44076648927408,-62.83185033203468,-56.36363636363637,-6.050420168067227,1.3730941336056493e-09,340
-81.97729459395384,-78.53981575663218,-80.9090909090909,9.07563025210084,4.0727882372144476e-10,592
-81.97729459395384,78.53981575663218,-80.9090909090909,-9.07563025210084,4.0727882372144476e-10,592
-125.40355337572147,94.24777960760497,-100.0,111.9327731092437,1.5556206895715438e-09,776
-125.40355337572147,-94.24777960760497,-100.0,-111.9327731092437,1.5556206895715438e-09,776
-176.72549626138616,109.95574287552058,-100.0,202.6890756302521,2.7072003713192366e-09,829
-176.72549626138616,-109.95574287552058,-100.0,-202.6890756302521,2.7072003713192366e-09,829
-235.94312266792227,125.66370614345209,-100.0,323.69747899159665,4.306784167660224e-09,98
-235.94312266792227,-125.66370614345209,-100.0,-323.69747899159665,4.306784167660224e-09,98
