k,D,v,tau,R,label
10,0.1,0.5,1,0.5,default
-50,0.1,0.5,1,0.5,
-10,0.1,0.5,1,0.5,
20,0.1,0.5,1,0.5,
50,0.1,0.5,1,0.5,
10,0.01,0.5,1,0.5,
10,0.05,0.5,1,0.5,
10,0.02,0.5,1,0.5,
10,1,0.5,1,0.5,
10,0.1,20,1,0.5,
10,0.1,5,1,0.5,
10,0.1,0.05,1,0.5,
10,0.1,0.001,1,0.5,
10,0.1,0.5,0.01,0.5,
10,0.1,0.5,0.2,0.5,
10,0.1,0.5,5,0.5,
10,0.1,0.5,20,0.5,
10,0.1,0.5,1,0.01,
10,0.1,0.5,1,0.2,
10,0.1,0.5,1,0.8,
10,0.1,0.5,1,0.99,
