# {'par': {'k': 1.5; 'D': 0.2; 'v': 1; 'tau': 0.8; 'R': 0.6; 'label': 'default'}; 'guess_range': ([-30; 10; 40]; [0; 100; 50]); 'tols': (1e-09; 1e-07; 5)}
Sol_r,Sol_i,Guess,g(x),g*(x),ier,msg,infodict,instances
0.64091,0.0,[-21.   0.],2.383789470021003e-11,2.801449927046858e-11,1,The solution converged.,"{'nfev': 62, 'fjac': array([[-0.99523804,  0.09747429],
       [-0.09747429, -0.99523804]]), 'r': array([ 1.72650274, -0.16621528,  1.78776606]), 'qtf': array([-2.06902812e-09, -1.42498696e-08]), 'fvec': array([-5.40245626e-12, -2.32176375e-11])}",275
-0.58833,3.4219,[-22.   0.],8.677513387697792e-15,1.7586437349651377e-14,1,The solution converged.,"{'nfev': 59, 'fjac': array([[-0.98468792, -0.17432639],
       [ 0.17432639, -0.98468792]]), 'r': array([ 1.58665783, -0.0441606 ,  1.6383121 ]), 'qtf': array([ 1.15057313e-10, -5.32701770e-11]), 'fvec': array([ 8.65973959e-15, -5.55111512e-16])}",306
-0.58833,-3.4219,[-0.5883309  -3.42187078],8.08254562088053e-16,1.6011864169946884e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98594757,  0.16705506],
       [-0.16705506, -0.98594757]]), 'r': array([ 1.61227371e+00, -1.76726051e-08,  1.61227360e+00]), 'qtf': array([-8.44531501e-15, -1.99396413e-15]), 'fvec': array([-2.22044605e-16,  7.77156117e-16])}",306
-2.4707,8.4185,[-30.   0.],8.075882625105797e-12,4.996886328495556e-11,1,The solution converged.,"{'nfev': 61, 'fjac': array([[-0.74093103, -0.67158113],
       [ 0.67158113, -0.74093103]]), 'r': array([2.17714027, 0.49748407, 1.52030421]), 'qtf': array([1.33108776e-10, 2.08742311e-10]), 'fvec': array([-7.8115292e-13,  8.0380147e-12])}",212
-2.4707,-8.4185,[-2.47067044 -8.41853196],3.278449303197517e-15,1.831026719408895e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.92870128,  0.37082872],
       [-0.37082872, -0.92870128]]), 'r': array([1.81950382e+00, 1.49403036e-07, 1.81950384e+00]), 'qtf': array([-2.25526897e-12,  7.75458845e-12]), 'fvec': array([-2.88657986e-15, -1.55431223e-15])}",212
-4.1652,14.203,[-30.   6.],1.0532500405730102e-14,2.2570219718813562e-13,1,The solution converged.,"{'nfev': 61, 'fjac': array([[ 0.8862069 ,  0.46328969],
       [-0.46328969,  0.8862069 ]]), 'r': array([-2.08017771e+00,  7.47659114e-04, -2.08009268e+00]), 'qtf': array([7.56010358e-10, 7.80853558e-11]), 'fvec': array([-8.65973959e-15, -5.99520433e-15])}",128
-4.1652,-14.203,[ -4.16523482 -14.20312504],1.7763568394002505e-15,3.972054645195637e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.8862073 ,  0.46328892],
       [-0.46328892, -0.8862073 ]]), 'r': array([2.08012643e+00, 3.00885302e-07, 2.08012654e+00]), 'qtf': array([ 1.04518362e-14, -1.30103246e-15]), 'fvec': array([ 0.00000000e+00, -1.77635684e-15])}",128
-5.66,-20.382,[ -5.65997077 -20.38235835],8.685322334937215e-15,2.3437142008433856e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.85823659,  0.51325428],
       [-0.51325428, -0.85823659]]), 'r': array([2.32482814e+00, 3.50024687e-07, 2.32482832e+00]), 'qtf': array([ 8.97121805e-13, -6.06167580e-12]), 'fvec': array([-7.32747196e-15, -4.66293670e-15])}",96
-5.66,20.382,[ 7. 10.],6.1277027503684195e-12,3.243440143244585e-10,1,The solution converged.,"{'nfev': 19, 'fjac': array([[-0.90836982, -0.41816775],
       [ 0.41816775, -0.90836982]]), 'r': array([ 2.30124034, -0.24803696,  2.34843257]), 'qtf': array([1.49128343e-10, 5.16195877e-09]), 'fvec': array([ 2.34123831e-12, -5.66280356e-12])}",96
-7.0005,26.799,[-29.  20.],2.5390405617123987e-11,3.4541182611848723e-09,1,The solution converged.,"{'nfev': 69, 'fjac': array([[-0.82984381, -0.55799575],
       [ 0.55799575, -0.82984381]]), 'r': array([ 2.4602689 , -0.16902366,  2.64792457]), 'qtf': array([-3.50936049e-09,  1.82398031e-09]), 'fvec': array([2.50959253e-11, 3.85580456e-12])}",79
