# {'par': {'k': 1.5; 'D': 0.75; 'v': 1; 'tau': 0.8; 'R': 0.6; 'label': '(D_0.75)'}; 'guess_range': ([-30; 10; 40]; [0; 100; 50]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),g*(x),ier,msg,infodict,instances
-6.96,39.1,[ 8. 74.],0.004499825122002263,0.25912492776147394,1,The solution converged.,"{'nfev': 46, 'fjac': array([[-0.74010739, -0.6724887 ],
       [ 0.6724887 , -0.74010739]]), 'r': array([4.63513698, 0.41900168, 4.70961316]), 'qtf': array([-0.09341748, -0.05017217]), 'fvec': array([-0.00092024, -0.00440472])}",1
-6.97,39.1,[-6.96490883 39.10411848],2.1505656796226695e-06,0.00012383152533352804,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.74769396, -0.66404348],
       [ 0.66404348, -0.74769396]]), 'r': array([4.99184102e+00, 1.41202774e-06, 4.99184118e+00]), 'qtf': array([ 0.00335001, -0.00370339]), 'fvec': array([ 1.13766926e-06, -1.82500449e-06])}",72
-6.97,-39.1,[ -6.96558    -39.10485995],7.160723346098895e-15,3.97919792038498e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.74814305,  0.66353747],
       [-0.66353747, -0.74814305]]), 'r': array([4.99449942e+00, 1.10793676e-06, 4.99449976e+00]), 'qtf': array([ 3.11849636e-12, -7.07847081e-13]), 'fvec': array([ 8.88178420e-16, -7.10542736e-15])}",72
-7.63,-46.4,[ 2. 38.],0.0038251206714335208,0.3448151102391138,1,The solution converged.,"{'nfev': 18, 'fjac': array([[ 0.68363764, -0.7298216 ],
       [ 0.7298216 ,  0.68363764]]), 'r': array([-5.45176327,  0.62231797, -5.74717395]), 'qtf': array([-0.15051744, -0.11078942]), 'fvec': array([0.00228295, 0.00306915])}",69
-7.63,46.4,[-7.62984684 46.39431864],1.1657856021050308e-06,0.00010508449706923634,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.74493679, -0.66713505],
       [ 0.66713505, -0.74493679]]), 'r': array([5.37826271e+00, 1.81351791e-06, 5.37826302e+00]), 'qtf': array([0.00034689, 0.00380936]), 'fvec': array([-1.03131488e-06, -5.43549163e-07])}",69
-8.24,53.7,[-8.2415417 53.7224109],2.0961763384985138e-14,1.1869254318424454e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.74173304, -0.67069523],
       [ 0.67069523, -0.74173304]]), 'r': array([5.73620886e+00, 1.81488765e-06, 5.73620892e+00]), 'qtf': array([1.03701322e-11, 3.29910949e-12]), 'fvec': array([-1.68753900e-14,  1.24344979e-14])}",65
-8.24,-53.7,[ 2. 46.],1.0882268383510828e-11,1.489106294613087e-09,1,The solution converged.,"{'nfev': 7, 'fjac': array([[-0.74137552,  0.6710904 ],
       [-0.6710904 , -0.74137552]]), 'r': array([ 5.74586673, -0.01616731,  5.7403565 ]), 'qtf': array([ 4.33167182e-09, -1.35817519e-09]), 'fvec': array([-5.47917267e-12,  9.40225675e-12])}",65
-8.81,61.1,[-8.81081297 61.08373772],2.0253584144909416e-14,9.165725883006586e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.73948198, -0.67317635],
       [ 0.67317635, -0.73948198]]), 'r': array([6.07163671e+00, 2.49016501e-06, 6.07163695e+00]), 'qtf': array([-1.09478747e-14, -2.12618954e-14]), 'fvec': array([-1.24344979e-14,  1.59872116e-14])}",67
-8.81,-61.1,[ 0. 38.],2.3914935841127267e-14,3.076379272837314e-12,1,The solution converged.,"{'nfev': 8, 'fjac': array([[-0.7394445 ,  0.67321752],
       [-0.67321752, -0.7394445 ]]), 'r': array([6.07205331e+00, 1.77660853e-04, 6.07121898e+00]), 'qtf': array([-1.13394423e-10,  9.15892994e-11]), 'fvec': array([-6.21724894e-15, -2.30926389e-14])}",67
-9.35,68.5,[-6. 62.],1.0361417036414492e-10,3.0429349720721445e-08,1,The solution converged.,"{'nfev': 19, 'fjac': array([[-0.73710719, -0.67577585],
       [ 0.67577585, -0.73710719]]), 'r': array([6.37540306e+00, 3.30601243e-04, 6.39029502e+00]), 'qtf': array([-5.16648604e-08,  1.41693466e-08]), 'fvec': array([-9.58637614e-11, -3.93196586e-11])}",72
