k,D,v,tau,R,label
0,0.1,0.5,1,0.5,default
0,0.02,0.5,1,0.5,
0,0.05,0.5,1,0.5,
0,0.3,0.5,1,0.5,
0,0.7,0.5,1,0.5,
0,0.1,0.05,1,0.5,
0,0.1,0.1,1,0.5,
0,0.1,1.5,1,0.5,
0,0.1,5,1,0.5,
0,0.1,0.5,0.01,0.5,
0,0.1,0.5,0.2,0.5,
0,0.1,0.5,5,0.5,
0,0.1,0.5,20,0.5,
0,0.1,0.5,1,0.01,
0,0.1,0.5,1,0.2,
0,0.1,0.5,1,0.7,
0,0.1,0.5,1,0.99,
